issue,date,red1,red2,red3
2013334,2013-12-07(六),00,06,08
2013335,2013-12-08(日),00,00,08
2013336,2013-12-09(一),02,03,04
2013337,2013-12-10(二),00,00,03
2013338,2013-12-11(三),01,05,07
2013339,2013-12-12(四),06,07,08
2013340,2013-12-13(五),00,05,08
2013341,2013-12-14(六),00,08,09
2013342,2013-12-15(日),08,09,09
2013343,2013-12-16(一),06,07,07
2013344,2013-12-17(二),01,04,09
2013345,2013-12-18(三),00,02,07
2013346,2013-12-19(四),00,01,09
2013347,2013-12-20(五),04,05,05
2013348,2013-12-21(六),04,05,07
2013349,2013-12-22(日),02,04,05
2013350,2013-12-23(一),02,02,03
2013351,2013-12-24(二),02,06,07
2013352,2013-12-25(三),01,06,07
2013353,2013-12-26(四),01,05,08
2013354,2013-12-27(五),00,02,04
2013355,2013-12-28(六),02,03,09
2013356,2013-12-29(日),01,04,06
2013357,2013-12-30(一),00,02,03
2013358,2013-12-31(二),06,08,09
2014001,2014-01-01(三),06,07,08
2014002,2014-01-02(四),03,04,06
2014003,2014-01-03(五),03,04,06
2014004,2014-01-04(六),05,05,09
2014005,2014-01-05(日),05,05,07
2014006,2014-01-06(一),02,09,09
2014007,2014-01-07(二),02,03,08
2014008,2014-01-08(三),00,05,09
2014009,2014-01-09(四),02,03,04
2014010,2014-01-10(五),04,05,06
2014011,2014-01-11(六),01,03,09
2014012,2014-01-12(日),03,06,08
2014013,2014-01-13(一),01,03,06
2014014,2014-01-14(二),04,05,09
2014015,2014-01-15(三),02,04,07
2014016,2014-01-16(四),02,02,04
2014017,2014-01-17(五),00,05,07
2014018,2014-01-18(六),04,04,07
2014019,2014-01-19(日),00,01,06
2014020,2014-01-20(一),00,07,08
2014021,2014-01-21(二),05,07,08
2014022,2014-01-22(三),06,09,09
2014023,2014-01-23(四),00,03,03
2014024,2014-01-24(五),03,04,04
2014025,2014-01-25(六),03,06,08
2014026,2014-01-26(日),00,00,03
2014027,2014-01-27(一),04,07,07
2014028,2014-01-28(二),00,05,08
2014029,2014-01-29(三),01,06,08
2014030,2014-02-07(五),04,08,08
2014031,2014-02-08(六),00,02,04
2014032,2014-02-09(日),02,05,06
2014033,2014-02-10(一),04,04,04
2014034,2014-02-11(二),03,03,05
2014035,2014-02-12(三),02,03,07
2014036,2014-02-13(四),00,03,06
2014037,2014-02-14(五),00,08,09
2014038,2014-02-15(六),00,00,04
2014039,2014-02-16(日),04,07,08
2014040,2014-02-17(一),00,06,08
2014041,2014-02-18(二),00,02,07
2014042,2014-02-19(三),01,05,06
2014043,2014-02-20(四),04,05,08
2014044,2014-02-21(五),05,05,08
2014045,2014-02-22(六),02,03,06
2014046,2014-02-23(日),02,04,08
2014047,2014-02-24(一),00,03,09
2014048,2014-02-25(二),01,02,04
2014049,2014-02-26(三),02,03,09
2014050,2014-02-27(四),05,07,07
